"actions_actions_map","Creates an associative array keyed by hashes of function names or IDs.","actions_actions_map($actions)"
"actions_delete","Deletes a single action from the database.","actions_delete($aid)"
"actions_do","Performs a given list of actions by executing their callback functions.","actions_do($action_ids, $object = NULL, $context = NULL, $a1 = NULL, $a2 = NULL)"
"actions_function_lookup","Returns an action array key (function or ID), given its hash.","actions_function_lookup($hash)"
"actions_get_all_actions","Retrieves all action instances from the database.","actions_get_all_actions()"
"actions_list","Discovers all available actions by invoking hook_action_info().","actions_list($reset = FALSE)"
"actions_load","Retrieves a single action from the database.","actions_load($aid)"
"actions_loop_test_action_info","Implements hook_action_info().","actions_loop_test_action_info()"
"actions_loop_test_init","Implements hook_init().","actions_loop_test_init()"
"actions_loop_test_install","Implements hook_install().","actions_loop_test_install()"
"actions_loop_test_log","Write a message to the log.","actions_loop_test_log()"
"actions_loop_test_trigger_info","Implements hook_trigger_info().","actions_loop_test_trigger_info()"
"actions_loop_test_watchdog","Implements hook_watchdog().","actions_loop_test_watchdog(array $log_entry)"
"actions_save","Saves an action and its user-supplied parameter values to the database.","actions_save($function, $type, $params, $label, $aid = NULL)"
"actions_synchronize","Synchronizes actions that are provided by modules in hook_action_info().","actions_synchronize($delete_orphans = FALSE)"
"aggregator_admin_form","Form constructor for the aggregator system settings.","aggregator_admin_form($form, $form_state)"
"aggregator_admin_form_submit","Form submission handler for aggregator_admin_form().","aggregator_admin_form_submit($form, &$form_state)"
"aggregator_admin_overview","Page callback: Displays the Aggregator module administration page.","aggregator_admin_overview()"
"aggregator_admin_refresh_feed","Page callback: Refreshes a feed, then redirects to the overview page.","aggregator_admin_refresh_feed($feed)"
"aggregator_admin_remove_feed","Deletes a feed.","aggregator_admin_remove_feed($form, $form_state, $feed)"
"aggregator_admin_remove_feed_submit","Form submission handler for aggregator_admin_remove_feed().","aggregator_admin_remove_feed_submit($form, &$form_state)"
"aggregator_aggregator_fetch","Implements hook_aggregator_fetch().","aggregator_aggregator_fetch($feed)"
"aggregator_aggregator_fetch_info","Implements hook_aggregator_fetch_info().","aggregator_aggregator_fetch_info()"
"aggregator_aggregator_parse","Implements hook_aggregator_parse().","aggregator_aggregator_parse($feed)"
"aggregator_aggregator_parse_info","Implements hook_aggregator_parse_info().","aggregator_aggregator_parse_info()"
"aggregator_aggregator_process","Implements hook_aggregator_process().","aggregator_aggregator_process($feed)"
"aggregator_aggregator_process_info","Implements hook_aggregator_process_info().","aggregator_aggregator_process_info()"
"aggregator_aggregator_remove","Implements hook_aggregator_remove().","aggregator_aggregator_remove($feed)"
"aggregator_block_configure","Implements hook_block_configure().","aggregator_block_configure($delta = '')"
"aggregator_block_info","Implements hook_block_info().","aggregator_block_info()"
"aggregator_block_save","Implements hook_block_save().","aggregator_block_save($delta = '', $edit = array())"
"aggregator_block_view","Implements hook_block_view().","aggregator_block_view($delta = '')"
"aggregator_categorize_items","Form constructor to build the page list form.","aggregator_categorize_items($items, $feed_source = '')"
"aggregator_categorize_items_submit","Form submission handler for aggregator_categorize_items().","aggregator_categorize_items_submit($form, &$form_state)"
"aggregator_category_load","Loads an aggregator category.","aggregator_category_load($cid)"
"aggregator_cron","Implements hook_cron().","aggregator_cron()"
"aggregator_cron_queue_info","Implements hook_cron_queue_info().","aggregator_cron_queue_info()"
"aggregator_element_data","Performs an action when data is encountered.","aggregator_element_data($parser, $data)"
"aggregator_element_end","Performs an action when a closing tag is encountered.","aggregator_element_end($parser, $name)"
"aggregator_element_start","Performs an action when an opening tag is encountered.","aggregator_element_start($parser, $name, $attributes)"
"aggregator_expire","Expires items from a feed depending on expiration settings.","aggregator_expire($feed)"
"aggregator_feed_items_load","Loads and optionally filters feed items.","aggregator_feed_items_load($type, $data = NULL)"
"aggregator_feed_load","Loads an aggregator feed.","aggregator_feed_load($fid)"
"aggregator_filter_xss","Renders the HTML content safely, as allowed.","aggregator_filter_xss($value)"
"aggregator_form_aggregator_admin_form_alter","Implements hook_form_aggregator_admin_form_alter().","aggregator_form_aggregator_admin_form_alter(&$form, $form_state)"
"aggregator_form_category","Form constructor to add/edit/delete aggregator categories.","aggregator_form_category($form, &$form_state, $edit = array('title' => '', 'description' => '', 'cid' => NULL))"
"aggregator_form_category_submit","Form submission handler for aggregator_form_category().","aggregator_form_category_submit($form, &$form_state)"
"aggregator_form_category_validate","Form validation handler for aggregator_form_category().","aggregator_form_category_validate($form, &$form_state)"
"aggregator_form_feed","Form constructor for adding and editing feed sources.","aggregator_form_feed($form, &$form_state, stdClass $feed = NULL)"
"aggregator_form_feed_submit","Form submission handler for aggregator_form_feed().","aggregator_form_feed_submit($form, &$form_state)"
"aggregator_form_feed_validate","Form validation handler for aggregator_form_feed().","aggregator_form_feed_validate($form, &$form_state)"
"aggregator_form_opml","Form constructor for importing feeds from OPML.","aggregator_form_opml($form, &$form_state)"
"aggregator_form_opml_submit","Form submission handler for aggregator_form_opml().","aggregator_form_opml_submit($form, &$form_state)"
"aggregator_form_opml_validate","Form validation handler for aggregator_form_opml().","aggregator_form_opml_validate($form, &$form_state)"
"aggregator_help","Implements hook_help().","aggregator_help($path, $arg)"
"aggregator_menu","Implements hook_menu().","aggregator_menu()"
"aggregator_page_categories","Page callback: Displays all the categories used by the Aggregator module.","aggregator_page_categories()"
"aggregator_page_category","Page callback: Displays all the items aggregated in a particular category.","aggregator_page_category($category)"
"aggregator_page_category_form","Page callback: Displays a form containing items aggregated in a category.","aggregator_page_category_form($form, $form_state, $category)"
"aggregator_page_last","Page callback: Displays the most recent items gathered from any feed.","aggregator_page_last()"
"aggregator_page_opml","Page callback: Generates an OPML representation of all feeds.","aggregator_page_opml($cid = NULL)"
"aggregator_page_rss","Page callback: Generates an RSS 0.92 feed of aggregator items or categories.","aggregator_page_rss()"
"aggregator_page_source","Page callback: Displays all the items captured from the particular feed.","aggregator_page_source($feed)"
"aggregator_page_sources","Page callback: Displays all the feeds used by the aggregator.","aggregator_page_sources()"
"aggregator_page_source_form","Page callback: Displays a form with all items captured from a feed.","aggregator_page_source_form($form, $form_state, $feed)"
"aggregator_parse_feed","Parses a feed and stores its items.","aggregator_parse_feed(&$data, $feed)"
"aggregator_parse_w3cdtf","Parses the W3C date/time format, a subset of ISO 8601.","aggregator_parse_w3cdtf($date_str)"
"aggregator_permission","Implements hook_permission().","aggregator_permission()"
"aggregator_refresh","Checks a news feed for new items.","aggregator_refresh($feed)"
